Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,4.4759,6.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.6771,,,,,,,0.0573,,0.7222,5.5447,7.5013,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Part time,01/04/2024,2003,,0.5000,,,,,,5.5000,,,,,,6.0000,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Part time,01/04/2024,2003,,0.2500,,,1.2500,,1.0000,,2.0000,,,,,4.5000,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2024,2003,,2.0000,1.2500,,1.5938,,,,3.9063,0.1970,,0.0470,,8.9941,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Part time,01/04/2024,2003,,0.8438,0.8750,,1.0000,,,,2.1250,,,,0.5000,5.3438,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2024,2003,,2.0000,,,1.0000,,,,3.0000,,,,0.5000,6.5000,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2024,2003,,1.0000,1.2500,,1.8125,,,,3.4375,0.1970,,0.0470,0.5000,8.2440,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2024,2003,,1.8750,,,1.6250,,,,4.3750,,,,1.2500,9.1250,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,SAS Doctor,Part time,01/04/2024,2008,,0.5000,,,1.2500,,,,5.3750,,,,0.5000,7.6250,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,2003,,,,,,,7.3959,,,0.8350,,0.8350,,9.0659,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2024,,,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2024,2021,,,,,,,10.8853,,,,,,,10.8853,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,,,11.0164,,,2.8631,,,,13.8795,
