Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Part time,01/04/2025,2003,,1.0000,4.2500,,0.7500,,,,,,,,,6.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,0.1250,8.3750,,2.0000,,,,,,,,,10.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,Locum,,8.5000,,,,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,6.6250,,1.8750,,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,9.5000,,,,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,SAS Doctor,Full time,01/09/2024,2021,,,9.0000,,,,,,,,,,,9.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Part time,01/04/2025,2003,,,6.5000,,,,,,,,,,,6.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,5.5000,,,,,,,,,,,5.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,8.5000,,,,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Microbiology,SAS Doctor,Full time,15/07/2024,2008,,0.5000,8.0000,,,,,,2.0000,,,,,10.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Microbiology,Consultant,Full time,01/04/2025,2003,Locum,,8.5000,,,,,,2.0000,,,,,10.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Microbiology,Consultant,Full time,01/04/2025,Pre 2003,,2.5000,6.9999,,,,,,,,,2.0000,,11.4999,
"NEW: Family, Diagnostic and Community Division",Womens Services,Obstetrics & Gynaecology ,,Consultant,Full time,01/04/2025,2003,,0.4464,,,0.2500,1.1429,,1.8661,1.3279,,,0.5692,2.1489,7.7514,
