Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2023,2003,,0.5454,0.8182,,,,,0.0938,,0.7879,5.2577,7.5030,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2023,2003,,0.3750,0.6406,,,,,,,1.0833,5.4024,7.5013,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2022,Pre 2003,,0.3750,0.6410,,,,,,,1.0830,5.4100,7.5090,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2023,2008,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Part time,01/04/2023,2008,,,,,,,,,,,5.4362,5.4362,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Part time,01/04/2023,2021,,,,,,,,,,,5.2998,5.2998,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2023,2008,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.7450,,,,,0.0570,,0.7220,4.4760,6.5000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.6770,,,,,0.0570,,0.7220,5.5440,7.5010,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2023,2008,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Full time,01/04/2023,2003,Locum,3.0000,,,,5.0000,,,,,,8.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Full time,01/04/2023,2003,Locum,2.8523,,,,2.6573,,,,,2.4999,8.0095,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Full time,01/04/2023,2003,,,,,,8.0000,,,,,,8.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Part time,01/04/2023,2003,,,,,,6.0000,,,,,,6.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,SAS Doctor,Full time,01/04/2023,2008,,0.2500,,,,,,,,,8.7500,9.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,UTC,Consultant,Full time,01/04/2023,2003,,3.7603,,,,0.3333,,,,,4.8646,8.9582,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2023,2003,,1.7500,1.2500,1.5938,,,3.9063,0.1970,,0.0470,,8.7441,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Part time,01/04/2023,2003,,0.8438,0.8750,1.0000,,,2.1250,,,,0.6250,5.4688,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2023,2003,,2.0000,,1.7500,,,4.2500,,,,0.5000,8.5000,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2023,2003,,1.0000,1.2500,1.8125,,,3.4375,0.1970,,0.0470,0.5000,8.2440,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,Consultant,Full time,01/04/2023,2003,,1.8750,,1.6250,,,4.3750,,,,1.2500,9.1250,
NEW: Planned Pathways Division ,Cancer ,Clinical Oncology,SAS Doctor,Part time,01/04/2023,2008,,0.5000,,1.7500,,,5.3750,,,,0.5000,8.1250,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,6.3542,,,0.8350,,0.8350,,8.0242,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,,,,,,10.8859,,,,,,,10.8859,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,SAS Doctor,Full time,01/04/2023,2021,,,,,0.6563,,,,0.8542,,,1.5105,
NEW: Planned Pathways Division ,"Critical Care, Theatres and Anaesthetics ",Anaesthetics,Consultant,Full time,01/04/2023,2003,,,,,11.0164,,,2.8631,,,,13.8795,
