Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Facilities,259207,HOUSEKEEPERS,Pay,Ancillary,2025-12,,WTE,-2.76,"-£9,601.11",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Bank,-2.76,
,Facilities,259207,HOUSEKEEPERS,Pay,Ancillary,2025-12,,WTE,-56.34,"-£176,557.62",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-56.34,
,Facilities,259209,DOMESTICS,Pay,Ancillary,2025-12,,WTE,-5.83,"-£19,701.55",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Bank,-5.83,
,Facilities,259209,DOMESTICS,Pay,Ancillary,2025-12,,WTE,-123.05,"-£399,703.33",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-123.05,
,Facilities,259210,RESTAURANT,Pay,Admin & Clerical,2025-12,,WTE,-2.00,"-£6,300.57",,,Facilities,,Estates & Facilities,Admin & Clerical Staff,Substantive,-2.00,
,Facilities,259210,RESTAURANT,Pay,Ancillary,2025-12,,WTE,-1.86,"-£7,345.72",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Bank,-1.86,
,Facilities,259210,RESTAURANT,Pay,Ancillary,2025-12,,WTE,-9.00,"-£27,599.56",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-9.00,
,Facilities,259211,PATIENTS DINING,Pay,Admin & Clerical,2025-12,,WTE,-1.00,"-£5,093.28",,,Facilities,,Estates & Facilities,Admin & Clerical Staff,Substantive,-1.00,
,Facilities,259211,PATIENTS DINING,Pay,Ancillary,2025-12,,WTE,-1.80,"-£7,629.65",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Bank,-1.80,
,Facilities,259211,PATIENTS DINING,Pay,Ancillary,2025-12,,WTE,-11.66,"-£36,561.51",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-11.66,
,Facilities,259212,PORTERING,Pay,Ancillary,2025-12,,WTE,-7.98,"-£24,922.66",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Bank,-7.98,
,Facilities,259212,PORTERING,Pay,Ancillary,2025-12,,WTE,-39.57,"-£132,449.30",,,Facilities,,Estates & Facilities,"HCA, Other Support & Ancillary Staff",Substantive,-39.57,
,Estates,259214,ENGINEERING/BUILDING,Pay,Snr Managers,2025-12,,WTE,-1.52,"-£9,206.98",,,Estates,,Estates & Facilities,Senior Managers,Substantive,-1.52,
,Estates,259214,ENGINEERING/BUILDING,Pay,Maintenance & Works Staff,2025-12,,WTE,-18.64,"-£73,914.43",,,Estates,,Estates & Facilities,Maintenance & Works Staff,Substantive,-18.64,
,Estates,259214,ENGINEERING/BUILDING,Pay,Admin & Clerical,2025-12,,WTE,-2.20,"-£6,578.37",,,Estates,,Estates & Facilities,Admin & Clerical Staff,Substantive,-2.20,
