,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2024-03,,WTE,-0.53,"-£2,630.31",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-11,,WTE,-8.75,"-£133,006.96",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-8.75,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-11,,WTE,-1.80,"-£62,202.14",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.80,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-11,,WTE,-42.40,"-£260,176.30",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-42.40,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-12,,WTE,-10.55,"-£141,816.11",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-10.55,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-12,,WTE,-1.45,"-£16,538.01",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.45,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2023-12,,WTE,-45.80,"-£262,346.45",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-45.80,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-01,,WTE,-10.72,"-£134,085.37",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-10.72,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-01,,WTE,-1.85,"-£50,054.18",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.85,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2024-01,,WTE,-49.12,"-£311,341.77",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-49.12,
