Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-07,,WTE,-7,"(£46,713.86)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-08,,WTE,-6.06,"(£38,042.85)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6.06,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-09,,WTE,-6,"(£37,661.28)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-10,,WTE,-6,"(£55,245.82)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-11,,WTE,-6,"(£40,001.84)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-12,,WTE,-6.76,"(£43,657.13)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6.76,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2025-01,,WTE,-6.1,"(£42,361.76)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6.1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2025-02,,WTE,-7.76,"(£49,046.80)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7.76,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2025-03,,WTE,-7.02,"(£46,397.10)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7.02,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-04,,WTE,-8.61,"(£132,456.39)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-8.61,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-04,,WTE,-5.75,"(£95,618.18)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-5.75,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-04,,WTE,-64.62,"(£536,881.77)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-64.62,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-05,,WTE,-3.51,"(£58,920.19)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-3.51,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-05,,WTE,-5.44,"(£89,427.55)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-5.44,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-05,,WTE,-64.91,"(£531,127.96)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-64.91,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-06,,WTE,-0.89,"(£2,686.12)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.89,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-06,,WTE,-10.28,"(£149,790.74)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-10.28,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-06,,WTE,-64.44,"(£623,423.59)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-64.44,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-07,,WTE,-0.54,"£10,669.11 ",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.54,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-07,,WTE,-9.52,"(£151,755.77)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-9.52,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-07,,WTE,-63.64,"(£558,593.75)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-63.64,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-08,,WTE,-0.59,"(£1,800.27)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.59,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-08,,WTE,-8.75,"(£132,933.63)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.75,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-08,,WTE,-63.74,"(£541,983.90)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-63.74,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-09,,WTE,-0.71,"(£12,171.10)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.71,
